filename,animal_id,perc_cor_stop,perc_cor_gos,go_mt,stop_mt,st_er_mt,go_er_mt,perc_cor_stop_L,perc_cor_go_L,perc_cor_stop_R,perc_cor_go_R,first_light,go_lf_mt,go_rt_mt,st_lf_mt,stop_rt_mt,scrt_idx
dw01082115,dw01,0.744680851,0.760217984,0.476976971,0.622572857,0.350597917,0.547211648,0.837209302,0.770491803,0.666666667,0.75,0.342535141,0.448318262,0.506258696,0.638090972,0.606141912,0.145595886
dw01082115,dw01,0.733333333,0.754940711,0.511964529,0.652809091,0.4749375,0.507682258,0.714285714,0.681481481,0.75,0.838983051,0.314946246,0.576963315,0.451561616,0.69920625,0.614144792,0.140844562
dw01082115,dw01,0.591836735,0.751131222,0.466188855,0.697405172,0.45012,0.533367593,0.777777778,0.711864407,0.483870968,0.803921569,0.280758086,0.483558333,0.448395732,0.785375,0.6153,0.231216317
dw01082115,dw01,0.835616438,0.7475,0.555929431,0.750493443,0.498491667,0.637756931,0.766666667,0.753846154,0.88372093,0.741463415,0.321647146,0.551178401,0.560524178,0.735834783,0.759365789,0.194564011
dw01082115,dw01,0.835616438,0.7475,0.555929431,0.750493443,0.498491667,0.637756931,0.766666667,0.753846154,0.88372093,0.741463415,0.321647146,0.551178401,0.560524178,0.735834783,0.759365789,0.194564011
dw01082115,dw01,0.525423729,0.87195122,0.520946853,0.619858065,0.541925,0.599614286,0.736842105,0.802631579,0.435897436,0.931818182,0.350434122,0.523180738,0.519285061,0.651094643,0.594133824,0.098911211
dw01082415,dw01,0.525423729,0.87195122,0.520946853,0.619858065,0.541925,0.599614286,0.736842105,0.802631579,0.435897436,0.931818182,0.350434122,0.523180738,0.519285061,0.651094643,0.594133824,0.098911211
dw01082415,dw01,0.525423729,0.87195122,0.520946853,0.619858065,0.541925,0.599614286,0.736842105,0.802631579,0.435897436,0.931818182,0.350434122,0.523180738,0.519285061,0.651094643,0.594133824,0.098911211
dw01082415,dw01,0.681818182,0.807228916,0.365202114,0.547069583,0.339382143,0.426205319,0.7,0.818897638,0.657894737,0.801652893,0.331479464,0.343561779,0.388404124,0.591582143,0.484752,0.181867469
dw01082415,dw01,0.681818182,0.807228916,0.365202114,0.547069583,0.339382143,0.426205319,0.7,0.818897638,0.657894737,0.801652893,0.331479464,0.343561779,0.388404124,0.591582143,0.484752,0.181867469
