animal_id,trial_type,perc_cor,mt,er_mt
dw01,go,0.698113208,0.453879054,0.458966139
dw01,go,0.698113208,0.453879054,0.458966139
dw01,go,0.698113208,0.453879054,0.458966139
dw01,go,0.698113208,0.453879054,0.458966139
dw01,go,0.698113208,0.453879054,0.458966139
dw01,go,0.698113208,0.453879054,0.458966139
dw01,go,0.609053498,0.518789865,0.557731383
dw01,go,0.609053498,0.518789865,0.557731383
dw01,go,0.609053498,0.518789865,0.557731383
dw01,go,0.609053498,0.518789865,0.557731383
dw01,go,0.644385027,0.554060477,0.614361364
dw01,go,0.644385027,0.554060477,0.614361364
dw01,go,0.644385027,0.554060477,0.614361364
dw01,go,0.644385027,0.554060477,0.614361364
dw01,go,0.644385027,0.554060477,0.614361364
dw01,go,0.71957672,0.512536213,0.562737264
dw01,go,0.71957672,0.512536213,0.562737264
dw01,go,0.71957672,0.512536213,0.562737264
dw01,go,0.71957672,0.512536213,0.562737264
dw01,go,0.71957672,0.512536213,0.562737264
dw01,go,0.71957672,0.512536213,0.562737264
dw01,go,0.870192308,0.398032597,0.461526852
dw01,go,0.702179177,0.455538448,0.541514583
dw01,go,0.702179177,0.455538448,0.541514583
dw01,go,0.723646724,0.52085374,0.56129768
dw01,go,0.723646724,0.52085374,0.56129768
dw01,go,0.723646724,0.52085374,0.56129768
dw01,go,0.570731707,0.818989957,0.808863218
dw01,go,0.535519126,0.953650765,1.02612381
dw01,go,0.724489796,0.753093662,0.837366358
dw01,go,0.724489796,0.753093662,0.837366358
dw01,go,0.724489796,0.753093662,0.837366358
dw01,go,0.724489796,0.753093662,0.837366358
dw01,go,0.724489796,0.753093662,0.837366358
dw01,go,0.7,0.834727619,0.901123295
dw01,go,0.7,0.834727619,0.901123295
dw01,go,0.7,0.834727619,0.901123295
dw01,go,0.7,0.834727619,0.901123295
dw01,go,0.505882353,0.700161434,0.46543435
dw01,go,0.467836257,0.654504062,0.531491944
dw01,go,0.467836257,0.654504062,0.531491944
dw01,go,0.467836257,0.654504062,0.531491944
dw01,go,0.467836257,0.654504062,0.531491944
dw01,go,0.467836257,0.654504062,0.531491944
dw01,go,0.471428571,1.763861111,1.836436136
dw01,go,0.507614213,0.8385665,0.807723034
dw01,go,0.633027523,0.698024819,0.753862338
dw01,go,0.63902439,0.815366221,0.967852465
dw01,go,0.63902439,0.815366221,0.967852465
dw01,go,0.63902439,0.815366221,0.967852465
dw01,go,0.627118644,0.926823311,0.963890294
dw01,go,0.627118644,0.926823311,0.963890294
dw01,go,0.627118644,0.926823311,0.963890294
dw01,go,0.574585635,1.023052163,1.027907246
dw01,go,0.574585635,1.023052163,1.027907246
dw01,go,0.645418327,0.726723457,0.838708133
dw01,go,0.645418327,0.726723457,0.838708133
dw01,go,0.645418327,0.726723457,0.838708133
dw01,go,0.65917603,0.691233949,0.845947159
dw01,go,0.65917603,0.691233949,0.845947159
dw01,go,0.65917603,0.691233949,0.845947159
dw01,go,0.583333333,0.79623961,0.791573558
dw01,go,0.717488789,0.715155313,1.341967063
dw01,go,0.717488789,0.715155313,1.341967063
dw01,go,0.717488789,0.715155313,1.341967063
dw01,go,0.528089888,1.27980133,1.59424529
dw01,go,0.649805447,0.683792665,0.714930337
dw01,go,0.649805447,0.683792665,0.714930337
dw01,go,0.677316294,0.606468396,0.627594697
dw01,go,0.677316294,0.606468396,0.627594697
dw01,go,0.677316294,0.606468396,0.627594697
dw01,go,0.677316294,0.606468396,0.627594697
dw01,go,0.677316294,0.606468396,0.627594697
dw01,go,0.68627451,0.550934048,0.56310266
dw02,go,0.68627451,0.550934048,0.56310266
dw02,go,0.68627451,0.550934048,0.56310266
dw02,go,0.68627451,0.550934048,0.56310266
dw02,go,0.68627451,0.550934048,0.56310266
dw02,go,0.68627451,0.550934048,0.56310266
dw02,go,0.68627451,0.550934048,0.56310266
dw02,go,0.496575342,0.432510345,0.379532759
dw02,go,0.634615385,0.404229394,0.392698936
dw02,go,0.634615385,0.404229394,0.392698936
dw02,go,0.675531915,0.572670866,0.63457623
dw02,go,0.675531915,0.572670866,0.63457623
dw02,go,0.675531915,0.572670866,0.63457623
dw02,go,0.713615023,0.533840461,0.540689344
dw02,go,0.582375479,0.607314638,0.683961792
dw02,go,0.652631579,0.506882661,0.473624495
dw02,go,0.652631579,0.506882661,0.473624495
dw02,go,0.652631579,0.506882661,0.473624495
dw03,go,0.652631579,0.506882661,0.473624495
dw05,go,0.538961039,0.627548494,0.582816786
dw05,go,0.538961039,0.627548494,0.582816786
dw05,go,0.538961039,0.627548494,0.582816786
dw05,go,0.643724696,0.645332233,0.652408621
dw05,go,0.643724696,0.645332233,0.652408621
dw05,go,0.643724696,0.645332233,0.652408621
dw05,go,0.689655172,0.63896575,0.673909659
dw05,go,0.79787234,0.550007333,0.632637162
dw05,go,0.405063291,0.686147266,0.829115083
dw05,go,0.405063291,0.686147266,0.829115083
dw05,go,0.33015873,0.877499038,0.928681653
dw05,go,0.33015873,0.877499038,0.928681653
dw05,go,0.33015873,0.877499038,0.928681653
dw05,go,0.575342466,0.768114087,0.855117033
dw05,go,0.694630872,0.57831872,0.650294382
dw05,go,0.694630872,0.57831872,0.650294382
dw05,go,0.694630872,0.57831872,0.650294382
dw05,go,0.694630872,0.57831872,0.650294382
dw05,go,0.694630872,0.57831872,0.650294382
dw05,go,0.643835616,0.645623404,0.606730769
dw05,go,0.643835616,0.645623404,0.606730769
dw05,go,0.643835616,0.645623404,0.606730769
dw05,go,0.643835616,0.645623404,0.606730769
dw05,go,0.643835616,0.645623404,0.606730769
dw05,go,0.643835616,0.645623404,0.606730769
dw05,go,0.575079872,0.531483333,0.600273684
dw05,go,0.575079872,0.531483333,0.600273684
